Proband_ID,Gruppe,Geschichte,Musik,SAM_Pleasure_f1,SAM_Pleasure_f2,SAM_Pleasure_f3,SAM_Arousal_f1,SAM_Arousal_f2,SAM_Arousal_f3,SAM_Dominance_f1,SAM_Dominance_f2,SAM_Dominance_f3,Loneliness_mean_f1,Loneliness_mean_f2,Loneliness_mean_f3,Godspeed_Anthropo_mean_f3,Godspeed_Animacy_mean_f3,Godspeed_Likeability_mean_f3,Godspeed_Intelligence_mean_f3,Godspeed_Safety_mean_f3
1,3,neutrale,neutrale,7,7,9,3,5,1,5,5,5,1.4,1.2,1,2.8,3.833333333333333,5,3.8,3.666666666666667
2,2,einsame,neutrale,7,7,5,1,1,1,5,5,3,1.2,1.8,1.8,2,2,2.8,2.6,5
3,1,neutrale,einsame,9,7,5,3,1,3,9,7,3,2.2,2.2,2,1,2.166666666666667,2.2,2.6,2
4,4,einsame,einsame,7,5,9,7,5,7,7,5,7,1.6,1.6,1.2,2.8,3.5,4.4,3.4,2.333333333333333
5,2,einsame,neutrale,7,5,7,5,3,5,7,3,3,2.2,2,2,2,3,3,2.6,4.333333333333333
6,1,neutrale,einsame,7,7,9,3,3,3,7,7,7,1.4,1.2,1.2,3.8,4,4.4,4.4,4.666666666666667
7,4,einsame,einsame,5,5,5,3,3,3,5,3,3,2.4,2.4,2.4,1.2,1,3,2.8,2.333333333333333
8,3,neutrale,neutrale,9,7,9,5,3,1,7,7,9,1.8,1.4,1.4,3.4,3.833333333333333,4.8,3.4,4.333333333333333
9,1,neutrale,einsame,5,7,9,5,3,3,3,5,5,2.2,2,1.8,3.4,3.666666666666667,4,3.4,4
10,2,einsame,neutrale,9,9,9,7,3,1,7,7,7,1.8,2.6,2.2,1.6,3.833333333333333,5,2.2,4.666666666666667
11,4,einsame,einsame,7,7,3,3,3,1,3,7,7,2,2.2,2.2,3,3.333333333333333,4,3.4,5
12,3,neutrale,neutrale,7,7,9,5,3,5,5,5,5,1.8,1.8,1.6,1.6,3,3.6,3,4
13,3,neutrale,neutrale,7,7,7,1,1,3,7,7,7,2,2,2,2.2,3,4.4,3,4
14,1,neutrale,einsame,9,9,9,3,5,5,5,7,9,2.2,1.8,2,2.4,3.5,5,3.6,4
15,4,einsame,einsame,9,3,7,1,3,3,3,3,5,2.2,2,2,2.6,3.666666666666667,3.6,3.8,4
16,1,neutrale,einsame,7,7,5,3,5,3,7,7,5,1.6,1.8,1.6,1.2,2.333333333333333,2,2.4,4.333333333333333
17,2,einsame,neutrale,9,7,9,1,3,3,5,3,3,2,1.6,1.6,1.8,3,4,4.6,3.333333333333333
18,3,neutrale,neutrale,9,9,9,7,7,9,9,9,9,1.4,1.4,1.6,2,3.666666666666667,4.2,3.6,4
19,4,einsame,einsame,5,5,7,5,3,5,7,5,5,1.8,1.6,1.6,3.2,3.333333333333333,4.2,4.2,4
20,2,einsame,neutrale,7,7,7,5,3,3,7,7,7,1.6,1.6,1.6,2,2.833333333333333,3.8,4,5
21,4,einsame,einsame,7,5,7,5,5,5,5,5,5,1.8,2.2,2.2,2,3.166666666666667,4.2,3.8,3.666666666666667
22,2,einsame,neutrale,7,3,7,3,7,5,7,3,7,2,1.8,1.6,2.4,3.666666666666667,4.2,4.2,4.666666666666667
23,3,neutrale,neutrale,7,7,7,3,5,7,1,1,3,1.6,1.8,1.8,2,2.833333333333333,3.8,3.2,3.666666666666667
24,1,neutrale,einsame,9,9,9,1,1,1,1,1,1,1.6,1.6,1.6,1.8,2.833333333333333,3.6,2.6,4.666666666666667
25,4,einsame,einsame,7,5,7,5,3,3,5,5,3,1.8,2.2,1.8,4,4.166666666666667,4.8,3.2,4.666666666666667
26,2,einsame,neutrale,7,7,7,5,3,3,5,5,5,1.8,1.6,2,2.6,3,4,3.2,3.666666666666667
27,1,neutrale,einsame,5,5,5,5,5,5,5,5,5,2.4,2.2,2.2,2.6,2.666666666666667,3.2,5,5
28,3,neutrale,neutrale,9,9,9,3,1,1,5,1,1,1.6,2,2.8,2.2,3,4.6,5,5
29,1,neutrale,einsame,5,7,7,3,3,3,5,7,5,2.2,2,2,2.4,3.333333333333333,3.6,2.8,3.666666666666667
30,4,einsame,einsame,7,7,7,1,7,5,5,5,5,1.4,1.4,1.4,1.8,3,2.6,3.6,3.333333333333333
31,3,neutrale,neutrale,7,9,7,3,1,3,5,7,7,1.8,1.8,1.8,2.4,2.666666666666667,3.6,2.6,3.666666666666667
32,2,einsame,neutrale,7,5,7,3,5,3,5,3,5,2.4,2.6,2.4,2.2,3.333333333333333,4.4,3.6,3.666666666666667
33,1,neutrale,einsame,9,9,7,5,7,5,9,9,5,2.4,2.4,2.4,1.8,3.333333333333333,4,3.8,3.666666666666667
34,4,einsame,einsame,5,3,5,1,5,3,7,5,5,2.4,2.6,2.4,1,1.666666666666667,2.6,2,3.333333333333333
35,2,einsame,neutrale,7,7,9,1,3,1,5,3,3,2,2.2,2.2,3,3.5,4,3.6,3.333333333333333
36,3,neutrale,neutrale,7,7,9,5,7,7,5,5,5,2.2,2.2,2,3.6,4,4.6,2.6,2.333333333333333
37,1,neutrale,einsame,7,7,9,1,1,5,5,7,3,2,2.2,2,2.4,2.833333333333333,5,3.2,4.333333333333333
38,2,einsame,neutrale,9,9,9,5,1,1,9,7,7,2,1.8,2.2,1.6,2.666666666666667,3.6,3,5
39,4,einsame,einsame,7,7,9,9,9,5,9,9,7,2,2,2,1,2,3.4,2.4,3.333333333333333
40,3,neutrale,neutrale,7,7,7,3,3,3,5,5,5,1.8,1.8,1.8,1.4,1.333333333333333,3,2.2,4.666666666666667
41,3,neutrale,neutrale,7,7,7,5,5,5,5,5,5,1.6,1.6,1.8,1.2,1.5,3,3.2,4
42,2,einsame,neutrale,7,5,9,3,3,3,7,5,7,2.6,2.8,2.8,1.6,2.333333333333333,3.8,4.4,4
43,1,neutrale,einsame,7,7,9,3,5,3,5,5,5,2,2.2,2,1,2.5,4,3.2,3.333333333333333
44,4,einsame,einsame,7,3,7,3,1,5,5,5,5,2.4,2.4,2.4,3,2.333333333333333,3.4,2.4,3
